degree,train_mse,cv_mse_mean,cv_mse_std,test_mse
0,1437.5070126964088,1546.215729682041,448.32984100631654,1591.615680640125
1,607.7388281723223,660.1149143486851,477.01887671066964,512.7158127571909
2,499.80012259814583,553.2249821418719,402.0969378872057,394.84758599238506
3,499.52716194708825,604.895558293096,403.96217534897255,393.9863225940588
4,488.94223425660675,596.8708625145882,394.69356605466896,408.7108376814933
5,472.5920771559098,571.179645897762,407.6597184403867,422.40536368587794
6,472.55113916053307,634.232744034852,377.3404878616839,423.463678645391
7,459.9640136763266,607.152649585491,405.01389927876465,469.4840433245001
8,456.3193643513968,781.5049642233236,568.2230859779623,497.9121473304193
9,456.2748765812209,866.068674141062,598.2463025162274,498.4770644781067
