iteration,loss
1,11121.131962810696
2,10908.544884903571
3,10700.188289846796
4,10495.977991031652
5,10295.831477162932
6,10099.667878920198
7,9907.407936282492
8,9718.973966503281
9,9534.289832722672
10,9353.280913204298
11,9175.874071184344
12,9001.997625320582
13,8831.581320729512
14,8664.556300599803
15,8500.855078370674
16,8340.411510463906
17,8183.160769558482
18,8029.0393183970755
19,7877.984884113784
20,7729.936433072726
21,7584.834146207387
22,7442.619394850668
23,7303.234717045947
24,7166.623794329541
25,7032.73142897519
26,6901.503521691394
27,6772.887049762543
28,6646.830045625075
29,6523.281575869944
30,6402.191720662941
31,6283.511553574557
32,6167.19312181123
33,6053.189426839995
34,5941.454405398686
35,5831.942910884061
36,5724.610695110277
37,5619.41439043039
38,5516.311492213634
39,5415.260341671391
40,5316.220109024938
41,5219.150777008151
42,5124.013124698496
43,5030.768711669804
44,4939.379862460384
45,4849.80965135023
46,4762.0218874411685
47,4675.981100033899
48,4591.6525242960315
49,4509.002087215349
50,4427.996393832571
51,4348.602713748111
52,4270.788967897331
53,4194.523715588983
54,4119.77614180157
55,4046.516044732526
56,3974.7138235951575
57,3904.340466658422
58,3835.367539524728
59,3767.767173640994
60,3701.512055038347
61,3636.575413295892
62,3572.9310107241117
63,3510.55313176351
64,3449.416572594225
65,3389.496630952408
66,3330.769096149262
67,3273.2102392887004
68,3216.7968036796638
69,3161.5059954392464
70,3107.3154742828124
71,3054.2033444973936
72,3002.148146094703
73,2951.1288461402273
74,2901.1248302548447
75,2852.115894285582
76,2804.082236142107
77,2757.0044477956876
78,2710.863507437361
79,2665.6407717921657
80,2621.3179685863097
81,2577.87718916425
82,2535.300881252689
83,2493.5718418685688
84,2452.673210368193
85,2412.588461634674
86,2373.301399400952
87,2334.796149705681
88,2297.0571544793456
89,2260.0691652580153
90,2223.8172370221882
91,2188.2867221582546
92,2153.4632645401134
93,2119.332793728573
94,2085.8815192861825
95,2053.0959252051957
96,2020.9627644464208
97,1989.4690535867455
98,1958.6020675731777
99,1928.349334581279
100,1898.6986309759193
101,1869.637976372307
102,1841.1556287953063
103,1813.2400799350871
104,1785.8800504971875
105,1759.0644856451017
106,1732.7825505335727
107,1707.0236259307621
108,1681.777303927549
109,1657.0333837321987
110,1632.7818675487354
111,1609.0129565373236
112,1585.7170468550394
113,1562.8847257754323
114,1540.5067678853095
115,1518.5741313571998
116,1497.077954296
117,1476.0095511583174
118,1455.3604092430742
119,1435.122185251946
120,1415.28670191824
121,1395.8459447028754
122,1376.7920585560964
123,1358.117344743638
124,1339.8142577360477
125,1321.8754021599086
126,1304.2935298097345
127,1287.0615367193286
128,1270.1724602914217
129,1253.6194764844306
130,1237.3958970551987
131,1221.4951668566082
132,1205.9108611889696
133,1190.6366832041174
134,1175.6664613611633
135,1160.9941469328842
136,1146.6138115617277
137,1132.5196448644574
138,1118.705952084463
139,1105.1671517907903
140,1091.897773622962
141,1078.892456080673
142,1066.1459443574754
143,1053.6530882175698
144,1041.4088399148482
145,1029.4082521533512
146,1017.6464760883075
147,1006.1187593669584
148,994.8204442083638
149,983.7469655214253
150,972.8938490603572
151,962.256709616864
