config_id,max_depth,criterion,splitter,min_samples_leaf,min_samples_split,max_features,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
0,1,gini,best,1,2,None,0.8321428571428573,0.8399887715320136,0.7988095238095237,0.8045196688138829,0.013264692882214633,0.019178466005685582,0.04794742220812582,0.0602677262805571
360,3,gini,best,1,2,None,0.9139880952380951,0.9172431938908805,0.8892857142857143,0.8925879678700125,0.009002668727532241,0.010506830284170005,0.030334625502438272,0.032530961822229414
720,5,gini,best,1,2,None,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
1080,8,gini,best,1,2,None,1.0,1.0,0.9380952380952381,0.9376607151493294,0.0,0.0,0.03365671609629769,0.033299039899783486
1440,12,gini,best,1,2,None,1.0,1.0,0.9380952380952381,0.9376607151493294,0.0,0.0,0.03365671609629769,0.033299039899783486
1800,20,gini,best,1,2,None,1.0,1.0,0.9380952380952381,0.9376607151493294,0.0,0.0,0.03365671609629769,0.033299039899783486
2160,None,gini,best,1,2,None,1.0,1.0,0.9380952380952381,0.9376607151493294,0.0,0.0,0.03365671609629769,0.033299039899783486
