config_id,max_depth,criterion,splitter,min_samples_leaf,min_samples_split,max_features,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
720,5,gini,best,1,2,None,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
721,5,gini,best,1,2,sqrt,0.9627976190476191,0.9632976922151665,0.8952380952380953,0.8965673773320407,0.02500835016040411,0.023934462370685902,0.0556021023017052,0.05392604432207183
722,5,gini,best,1,2,log2,0.9627976190476191,0.9632976922151665,0.8952380952380953,0.8965673773320407,0.02500835016040411,0.023934462370685902,0.0556021023017052,0.05392604432207183
723,5,gini,best,1,2,0.25,0.9627976190476191,0.9632976922151665,0.8952380952380953,0.8965673773320407,0.02500835016040411,0.023934462370685902,0.0556021023017052,0.05392604432207183
724,5,gini,best,1,2,0.5,0.9627976190476191,0.9632976922151665,0.8952380952380953,0.8965673773320407,0.02500835016040411,0.023934462370685902,0.0556021023017052,0.05392604432207183
