config_id,max_depth,criterion,splitter,min_samples_leaf,min_samples_split,max_features,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
158,1,entropy,best,5,5,0.25,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
159,1,entropy,best,5,5,0.5,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
160,1,entropy,best,5,10,None,0.8285714285714287,0.827356152062831,0.7928571428571428,0.7891164731648523,0.01598972998566822,0.03324936980084277,0.04567680223473039,0.059407904737205586
161,1,entropy,best,5,10,sqrt,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
162,1,entropy,best,5,10,log2,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
163,1,entropy,best,5,10,0.25,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
164,1,entropy,best,5,10,0.5,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
165,1,entropy,best,10,2,None,0.8285714285714287,0.827356152062831,0.7928571428571428,0.7891164731648523,0.01598972998566822,0.03324936980084277,0.04567680223473039,0.059407904737205586
166,1,entropy,best,10,2,sqrt,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
167,1,entropy,best,10,2,log2,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
168,1,entropy,best,10,2,0.25,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
169,1,entropy,best,10,2,0.5,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
170,1,entropy,best,10,5,None,0.8285714285714287,0.827356152062831,0.7928571428571428,0.7891164731648523,0.01598972998566822,0.03324936980084277,0.04567680223473039,0.059407904737205586
171,1,entropy,best,10,5,sqrt,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
172,1,entropy,best,10,5,log2,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
173,1,entropy,best,10,5,0.25,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
174,1,entropy,best,10,5,0.5,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
175,1,entropy,best,10,10,None,0.8285714285714287,0.827356152062831,0.7928571428571428,0.7891164731648523,0.01598972998566822,0.03324936980084277,0.04567680223473039,0.059407904737205586
176,1,entropy,best,10,10,sqrt,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
177,1,entropy,best,10,10,log2,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
178,1,entropy,best,10,10,0.25,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
179,1,entropy,best,10,10,0.5,0.7044642857142857,0.6378867701057044,0.6559523809523811,0.5668711524499982,0.017952551245154897,0.1056425467527522,0.036010674910128986,0.1495317462440053
180,1,entropy,random,1,2,None,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
181,1,entropy,random,1,2,sqrt,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
182,1,entropy,random,1,2,log2,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
183,1,entropy,random,1,2,0.25,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
184,1,entropy,random,1,2,0.5,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
185,1,entropy,random,1,5,None,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
186,1,entropy,random,1,5,sqrt,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
187,1,entropy,random,1,5,log2,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
188,1,entropy,random,1,5,0.25,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
189,1,entropy,random,1,5,0.5,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
190,1,entropy,random,1,10,None,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
191,1,entropy,random,1,10,sqrt,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
192,1,entropy,random,1,10,log2,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
193,1,entropy,random,1,10,0.25,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
194,1,entropy,random,1,10,0.5,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
195,1,entropy,random,3,2,None,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
196,1,entropy,random,3,2,sqrt,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
197,1,entropy,random,3,2,log2,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
198,1,entropy,random,3,2,0.25,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
199,1,entropy,random,3,2,0.5,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
200,1,entropy,random,3,5,None,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
201,1,entropy,random,3,5,sqrt,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
202,1,entropy,random,3,5,log2,0.687202380952381,0.5579915769761042,0.6880952380952382,0.5497854332000673,0.014946708459736852,0.030274050930691274,0.05641543806520877,0.11918205403674322
