criterion,agreement,manual_accuracy,sklearn_accuracy
gini,1.0,0.8833333333333333,0.8833333333333333
entropy,1.0,0.8833333333333333,0.8833333333333333
log_loss,1.0,0.8833333333333333,0.8833333333333333
