config_id,max_depth,criterion,splitter,min_samples_leaf,min_samples_split,max_features,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
2160,None,gini,best,1,2,None,1.0,1.0,0.9380952380952381,0.9376607151493294,0.0,0.0,0.03365671609629769,0.033299039899783486
2165,None,gini,best,1,5,None,0.9931547619047618,0.9931185711656563,0.9369047619047619,0.9361580760483841,0.002856877113491884,0.0028786123953648403,0.034326789454401964,0.03459103095126616
2170,None,gini,best,1,10,None,0.9889880952380952,0.9889435100670924,0.9345238095238096,0.9343648434021569,0.005812558452426671,0.005826695540875602,0.037980801758719894,0.03665840148401035
2175,None,gini,best,3,2,None,0.9833333333333333,0.9832607337697024,0.9416666666666667,0.9412626451767405,0.0039451567039667165,0.0039635171446609834,0.032695550586933096,0.032876293775759347
2180,None,gini,best,3,5,None,0.9833333333333333,0.9832607337697024,0.9416666666666667,0.9412626451767405,0.0039451567039667165,0.0039635171446609834,0.032695550586933096,0.032876293775759347
2185,None,gini,best,3,10,None,0.9815476190476191,0.9814662378821468,0.9380952380952381,0.938110697510966,0.0060525165637221115,0.006136985245788295,0.03688555567816587,0.035781255076087204
2190,None,gini,best,5,2,None,0.9779761904761907,0.9778489129573835,0.9369047619047619,0.9371690779252785,0.009159430397625212,0.009247531475967345,0.04042113101890427,0.03842543072374536
2195,None,gini,best,5,5,None,0.9779761904761907,0.9778489129573835,0.9369047619047619,0.9371690779252785,0.009159430397625212,0.009247531475967345,0.04042113101890427,0.03842543072374536
2200,None,gini,best,5,10,None,0.9779761904761907,0.9778489129573835,0.9369047619047619,0.9371690779252785,0.009159430397625212,0.009247531475967345,0.04042113101890427,0.03842543072374536
2205,None,gini,best,10,2,None,0.962202380952381,0.9617960133938399,0.9250000000000002,0.9232043957344043,0.010519415503093555,0.010443504586960554,0.03647156326665616,0.03692612144455457
2210,None,gini,best,10,5,None,0.962202380952381,0.9617960133938399,0.9250000000000002,0.9232043957344043,0.010519415503093555,0.010443504586960554,0.03647156326665616,0.03692612144455457
2215,None,gini,best,10,10,None,0.962202380952381,0.9617960133938399,0.9250000000000002,0.9232043957344043,0.010519415503093555,0.010443504586960554,0.03647156326665616,0.03692612144455457
