splitter,seed,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
best,0,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,1,0.9892857142857141,0.9891966853320058,0.9428571428571428,0.9411993601164804,0.004063656204610726,0.004171490869778498,0.03320248857862028,0.035033706290793346
best,2,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,3,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,4,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,5,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,6,0.9892857142857141,0.9891966853320058,0.9428571428571428,0.9411993601164804,0.004063656204610726,0.004171490869778498,0.03320248857862028,0.035033706290793346
best,7,0.9892857142857141,0.9891966853320058,0.9428571428571428,0.9411993601164804,0.004063656204610726,0.004171490869778498,0.03320248857862028,0.035033706290793346
best,8,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,9,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,10,0.9892857142857141,0.9891966853320058,0.9428571428571428,0.9411993601164804,0.004063656204610726,0.004171490869778498,0.03320248857862028,0.035033706290793346
best,11,0.9892857142857141,0.9891966853320058,0.9428571428571428,0.9411993601164804,0.004063656204610726,0.004171490869778498,0.03320248857862028,0.035033706290793346
best,12,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,13,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,14,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,15,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,16,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,17,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,18,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
best,19,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
