config_id,max_depth,criterion,splitter,min_samples_leaf,min_samples_split,max_features,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
720,5,gini,best,1,2,None,0.9892857142857141,0.9891966853320058,0.9416666666666665,0.9400701001850427,0.004063656204610726,0.004171490869778498,0.03199132839259168,0.03386228104341651
780,5,gini,random,1,2,None,0.9244047619047618,0.9191417427428656,0.913095238095238,0.9059121196589415,0.02209493937459341,0.026787719233908203,0.03562915022796584,0.04290353455986324
840,5,entropy,best,1,2,None,0.9892857142857141,0.9892240571682671,0.9511904761904761,0.949881333881068,0.004400048038433771,0.0044491779600478515,0.02183570154590741,0.023126659440943775
900,5,entropy,random,1,2,None,0.9047619047619048,0.8948613578452936,0.8952380952380952,0.8827754494060209,0.020224647893352977,0.02519578530827708,0.03227486121839515,0.04187220350176746
960,5,log_loss,best,1,2,None,0.9892857142857141,0.9892240571682671,0.9511904761904761,0.949881333881068,0.004400048038433771,0.0044491779600478515,0.02183570154590741,0.023126659440943775
1020,5,log_loss,random,1,2,None,0.9047619047619048,0.8948613578452936,0.8952380952380952,0.8827754494060209,0.020224647893352977,0.02519578530827708,0.03227486121839515,0.04187220350176746
