degree,theta,mse_train,r2_train,condition_number
1,"[101.30202054765152, 3.6740202175492063]",876.7284575686529,0.42985992877981316,27.682404980231993
2,"[79.98745595202996, 9.057035255729085, -0.22429229325749878]",780.2471452720632,0.49260211741224647,774.8820901997358
3,"[76.88211482108156, 10.649859217023597, -0.3910479849720183, 0.004632102547626424]",778.6938774083297,0.49361221380276277,21419.37917091193
