method,degree,alpha,cv_mse_mean,cv_mse_std,variant
Ridge,4,1.0,588.8778090696284,414.3409405553894,2
Ridge,4,10.0,606.8916427197336,480.8257795342586,2
Ridge,4,100.0,888.5876454369969,543.6612978214135,2
Ridge,5,0.01,570.6278489930284,407.14570126910826,2
Ridge,5,0.1,569.0832879579843,404.74753441050717,2
Ridge,5,1.0,573.7772347892763,413.20144987873914,2
Ridge,5,10.0,620.7892240462334,488.7007137598224,2
Ridge,5,100.0,869.4294599587387,573.9435675660583,2
Ridge,6,0.01,620.5177854175566,381.4876064848466,2
Ridge,6,0.1,582.0837652962276,396.3994583542663,2
Ridge,6,1.0,571.6954579703447,410.1109386995989,2
Ridge,6,10.0,614.7328812055699,472.29472951986446,2
Ridge,6,100.0,860.8035044627641,576.5673323608032,2
Ridge,7,0.01,597.3738996224255,396.1182307097131,2
Ridge,7,0.1,584.8411216285501,396.0235184428904,2
Ridge,7,1.0,565.6720021608979,411.379244549158,2
Ridge,7,10.0,610.0446493503936,474.02138597776235,2
Ridge,7,100.0,866.5215807283641,591.152019612016,2
Ridge,8,0.01,616.4862805227832,378.86138379646735,2
Ridge,8,0.1,604.5271329340412,375.04457952458057,2
Ridge,8,1.0,567.5969166278725,409.16308527112864,2
Ridge,8,10.0,606.825419500777,466.5943238784302,2
Ridge,8,100.0,864.277103922687,588.2149507822619,2
Ridge,9,0.01,618.8854994592339,406.1985394267726,2
Ridge,9,0.1,594.2658250335687,382.9936803186404,2
Ridge,9,1.0,569.3857955406388,408.2403915647339,2
Ridge,9,10.0,599.8531576352262,469.5488964493249,2
Ridge,9,100.0,873.8148888897625,592.2298445000305,2
Lasso,1,0.01,660.1004640219041,476.9710945455704,2
Lasso,1,0.1,659.9806843070971,476.54379649979813,2
Lasso,1,1.0,659.7999365552766,472.5376715677064,2
Lasso,1,10.0,759.6973986621084,454.1087229052687,2
Lasso,1,100.0,1546.2157296820415,448.32984100631626,2
Lasso,2,0.01,553.2300192267377,402.23638916039215,2
Lasso,2,0.1,553.2971584132758,403.4863463970927,2
Lasso,2,1.0,556.1272871298027,415.47862598447495,2
Lasso,2,10.0,750.0542288510006,459.35455714328947,2
Lasso,2,100.0,1546.2157296820415,448.32984100631626,2
Lasso,3,0.01,604.3030084472528,404.3506257787974,2
Lasso,3,0.1,599.1465337891689,407.74520012041626,2
Lasso,3,1.0,577.1473405897055,423.0176326545956,2
Lasso,3,10.0,750.0542288510006,459.35455714328947,2
Lasso,3,100.0,1546.2157296820415,448.32984100631626,2
Lasso,4,0.01,596.3123413534584,395.0937917962283,2
Lasso,4,0.1,592.1270579295573,398.1554284918853,2
Lasso,4,1.0,574.5911263343103,417.4296974666128,2
Lasso,4,10.0,747.0922475931695,460.70135863754336,2
Lasso,4,100.0,1546.2157296820415,448.32984100631626,2
Lasso,5,0.01,571.1639902721729,407.22591774551864,2
Lasso,5,0.1,573.589408223959,403.0310660341284,2
Lasso,5,1.0,578.5643448319088,415.928874806998,2
Lasso,5,10.0,747.0922475931695,460.70135863754336,2
Lasso,5,100.0,1546.2157296820415,448.32984100631626,2
Lasso,6,0.01,620.2885724745653,381.926782975879,2
Lasso,6,0.1,575.6626425609337,401.55943025196996,2
Lasso,6,1.0,572.9930796786718,414.93434321448564,2
Lasso,6,10.0,747.0922475931695,460.70135863754336,2
Lasso,6,100.0,1546.2157296820415,448.32984100631626,2
Lasso,7,0.01,599.9174809719656,402.7654644341442,2
Lasso,7,0.1,576.589125511937,401.6745696781473,2
Lasso,7,1.0,574.1815214752053,414.54577447519534,2
Lasso,7,10.0,747.0922475931695,460.70135863754336,2
Lasso,7,100.0,1546.2157296820415,448.32984100631626,2
Lasso,8,0.01,676.1487778189337,446.4508274818602,2
Lasso,8,0.1,584.1751550222492,392.430299702992,2
Lasso,8,1.0,571.7917207346024,414.2414458660846,2
Lasso,8,10.0,747.0922475931695,460.70135863754336,2
Lasso,8,100.0,1546.2157296820415,448.32984100631626,2
Lasso,9,0.01,683.446795952214,466.22561544103536,2
Lasso,9,0.1,584.1751550222496,392.4302997029917,2
Lasso,9,1.0,571.097313560851,414.74719341772567,2
Lasso,9,10.0,747.0922475931695,460.70135863754336,2
Lasso,9,100.0,1546.2157296820415,448.32984100631626,2
Ridge,1,0.01,1108.4372610771575,337.1412047703577,3
Ridge,1,0.1,1108.4442669471648,336.79788231254554,3
Ridge,1,1.0,1108.853793294309,334.13812798296993,3
Ridge,1,10.0,1134.5238402397092,352.91740855942754,3
Ridge,1,100.0,1438.6964242064,563.3459936944348,3
Ridge,2,0.01,759.8764542445745,187.60422251222334,3
Ridge,2,0.1,760.0596240668535,189.01031293721547,3
Ridge,2,1.0,762.340024731102,202.96002598874875,3
Ridge,2,10.0,812.4625412794585,316.4209384682096,3
Ridge,2,100.0,1279.7307866764256,558.8805781600171,3
Ridge,3,0.01,767.4876718062372,195.48736026955078,3
Ridge,3,0.1,767.7727305944557,196.81845735317188,3
Ridge,3,1.0,773.3275864642824,209.12478836081692,3
Ridge,3,10.0,838.5447692312734,297.7995937382623,3
Ridge,3,100.0,1202.0911773636824,531.4517931229844,3
Ridge,4,0.01,770.424100365393,171.85790577418533,3
Ridge,4,0.1,769.00891761055,172.927196456813,3
Ridge,4,1.0,772.5020293499218,193.20702444645553,3
Ridge,4,10.0,850.8934228798058,306.824542474926,3
Ridge,4,100.0,1162.0452060171335,546.1299870868505,3
Ridge,5,0.01,781.0840924517008,167.43984843026087,3
Ridge,5,0.1,775.7278003734828,172.927724396997,3
Ridge,5,1.0,774.6598508400357,197.98891020285944,3
Ridge,5,10.0,860.7174568547559,303.9115765959412,3
