k,weights,metric,train_accuracy_mean,train_f1_mean,cv_accuracy_mean,cv_f1_mean,train_accuracy_std,train_f1_std,cv_accuracy_std,cv_f1_std
15,uniform,euclidean,0.9720238095238095,0.972589801366449,0.9695238095238093,0.9701673348445348,0.003676184748506328,0.003594565887190021,0.016744231561148834,0.016054447834340232
15,uniform,manhattan,0.9723809523809522,0.9729679554696591,0.9695238095238092,0.970139136168987,0.003083113353327353,0.003014282097823333,0.016744231561148838,0.016119939206889096
15,uniform,chebyshev,0.9714285714285715,0.9720335953915087,0.9685714285714285,0.9692151304904518,0.003236882025624866,0.00317732010976114,0.01766220124360721,0.01697399464133516
15,uniform,minkowski_p1,0.9723809523809522,0.9729679554696591,0.9695238095238092,0.970139136168987,0.003083113353327353,0.003014282097823333,0.016744231561148838,0.016119939206889096
15,uniform,minkowski_p1.5,0.9720238095238095,0.9725892748787884,0.9685714285714284,0.9691733092771722,0.003352109412317509,0.0032795036448244295,0.016598500055174662,0.015980870551719373
15,uniform,minkowski_p2,0.9720238095238095,0.972589801366449,0.9695238095238093,0.9701673348445348,0.003676184748506328,0.003594565887190021,0.016744231561148834,0.016054447834340232
15,uniform,minkowski_p3,0.9715476190476192,0.9721760723110485,0.9685714285714284,0.9692283677083846,0.0031271251277532504,0.0030424404083653554,0.01786734402498842,0.01720354168249026
15,uniform,minkowski_p4,0.9719047619047619,0.9725275753096044,0.9685714285714284,0.9692283677083846,0.002977890670831389,0.002903077535412146,0.01786734402498842,0.01720354168249026
15,uniform,sqeuclidean,0.9720238095238095,0.972589801366449,0.9695238095238093,0.9701673348445348,0.003676184748506328,0.003594565887190021,0.016744231561148834,0.016054447834340232
15,uniform,seuclidean,0.9722619047619048,0.9728611141764069,0.9690476190476188,0.9696556685801808,0.002852887988278491,0.0027769048760776078,0.015430334996209192,0.014970254591461275
15,uniform,mahalanobis,0.9707142857142855,0.9713733707081892,0.9690476190476189,0.9697084808434754,0.0035586506107085202,0.0034481415125185953,0.018244106574018905,0.017555922212842596
15,uniform,cosine,0.8575,0.8545013703861863,0.8547619047619047,0.8514283369010017,0.0054498776298884215,0.0063588023327272435,0.019592545338659412,0.022790466301812126
15,uniform,correlation,0.805952380952381,0.8176883212752075,0.8061904761904762,0.8180260370243935,0.008117965295824914,0.008881318053574016,0.027114198977661028,0.02516638430304855
15,uniform,canberra,0.9446428571428573,0.9447527634822344,0.938095238095238,0.9379385467548053,0.004867036741923193,0.005018023761207453,0.01784012794822227,0.018096121363377633
15,uniform,braycurtis,0.9654761904761904,0.9659622245120004,0.9619047619047618,0.9622864821229952,0.004086943823366624,0.004037425335740343,0.018442777839082942,0.018315776050976933
