degree,train_mse,cv_mse_mean,cv_mse_std,test_mse
0,1497.88223657022,1755.2050025960475,660.4907241184412,1604.683538028065
1,938.152903092524,1108.4368829799798,337.1802661283984,1070.9676503512574
2,636.7934902110279,759.8566337916998,187.44791994100856,808.8142087195416
3,632.1159605723,767.4610094014796,195.3383367681113,823.7010097080356
4,602.1134062091533,770.6239758167385,171.7726243421274,838.281865364543
5,602.0850928425464,782.0886177896558,166.573451804476,839.3264086720822
6,560.4760857632334,799.4744544352202,354.94972176896886,858.3782169250486
7,545.2691487061318,821.7834132420151,372.25006742072566,852.9519402372551
8,539.1006950955767,1057.3806921726678,439.4553974424143,881.9541928628227
9,537.0079567711347,3509.9805141436773,5913.335199871828,875.7010131951222
